actual_headline,mt5_headline,mbart_headline,lstm_headline
ဆွီဒင်နိုင်ငံ နေတိုးအဖွဲ့ဝင်ဖြစ်ရေး ဟန်ဂေရီက တားဆီးနေသည့်အပေါ် အမေရိကန် စိတ်ပျက်,ဆွီဒင် နေတိုးအဖွဲ့ဝင်ဖြစ်ရေး မဲခွဲဆုံးဖြတ်မှုအပေါ် အမေရိကန် စိတ်ပျက်မိ,ဆွီဒင် နေတိုးအဖွဲ့ဝင်ဖြစ်ရေး ဟန်ဂေရီက တားဆီးနေသည့်အပေါ် အမေရိကန် စိတ်ပျက်,ဆွီဒင်အအအအအအအအအအအအအအအအအအ
အမေရိကန် တိုက်ခိုက်မှုကြောင့် အီရန်နိုင်ငံသားအချို့ သေဆုံး,အီရတ်နှင့်ဆီးရီးယားရှိ အီရန်နှင့်ဆက်နွှယ်နေသည့် ပစ်မှတ်များ သေဆုံး,အီရန်နိုင်ငံသားများ သေဆုံးမှုတစုံတရာရှိဟု ပင်တဂွန်စစ်ဌာနချုပ်ပြော,အီရတ်အခိုက်မှုအခိုက်မှုအမေရိကန်တိုက်ခိုက်မှုအမေရိကန်တိုက်
အစ္စရေးကိုသာ ကူညီမည့် ဥပဒေ ပြဋ္ဌာန်းပါက ဗီတိုဖြင့်ပယ်မည်ဟု သမ္မတဘိုင်ဒင် သတိပေး,အစ္စရေးကို ကူညီပြီး ယူကရိန်းနှင့် တခြားနိုင်ငံများကို ပေးအပ်မည့် ဥပဒေကြမ်း ပယ်ချမည်ဟု သမ္မတဂျိုးဘိုင်ဒင်ပြော,အစ္စရေးကိုသာကူညီမည့် ဥပဒေကြမ်းကို အောက်လွှတ်တော်က တင်ပြပါက ဗီတိုသုံးပယ်ချမည်,အစ္စရေးအအအကိုအရန်အရန်အရန်အဟုအမ္မတပြော
ချီလီ တောမီးကြောင့် သေဆုံးသူ ၁၂၃ ဦးထိ မြင့်တက်,ချီလီတွင် တောမီးလောင်ကျွမ်းမှုကြောင့် အနည်းဆုံး လူ ၁၂၃ ဦးသေဆုံး,ချီ ကနီမြို့နယ်တွင် တောမီးကြောင့် အနည်းဆုံး လူ ၁၂၃ ဦးသေဆုံး,ချီလီတွင်မီးမီးလောင်ပြီးလူ၁၀၀၀ကျော်သေဆုံး
တယ်လီနောက အန္တာတိကတိုက်တွင် မိုဘိုင်းလ်ဖုန်း အခြေစိုက်စခန်း ဖွင့်လှစ်,နော်ဝေနိုင်ငံအခြေစိုက် တယ်လီနော ကမ္ဘာ့တောင်ဘက်အကျဆုံး မိုဘိုင်းလ်ဖုန်း ဆက်သွယ်ရေးလုပ်ငန်းစု ကိုဗစ်-၁၉ ရောဂါကူးစက်ခံရ,တယ်လီနောဟာ ကမ္ဘာ့တောင်ဘက်အကျဆုံးမိုဘိုင်းလ်ဖုန်းစခန်းကို အန္တာတိကတိုက်တွင် ဖွင့်လှစ်,ဟေတီတွင်အအစစတင်အစတင်အစတင်
တရုတ်နိုင်ငံတဝန်း အအေးလှိုင်းဖြတ်,တရုတ်နှစ်သစ်ကူး အားလပ်ရက်မတိုင်မီ သန်းထောင်ချီသည့်လူများ အိမ်ပြန်ရန် ကြိုးစားနေ,တရုတ်နိုင်ငံတဝန်း အလွန်ပြင်းထန်သည့် အအေးလှိုင်းခတ်,တရုတ်နိုင်ငံတွင်အအအအအအအအအအအများအများအ
အီတလီတွင် ရွှေ့ပြောင်းလူငယ် ၁ ဦး သတ်သေပြီးနောက် ဆူပူမှုဖြစ်,အီတလီတွင် ရွှေ့ပြောင်းနေထိုင်သူများ ထိန်းသိမ်းရေးဌာနက လူငယ်အမျိုးသား ၁ ဦး သတ်သေပြီးနောက် ရုတ်မရုတ်သဲသဲဖြစ်၊ လူ ၁၄ ဦး ဖမ်းဆီးခံရ,အီတလီတွင် ရွှေ့ပြောင်းလူငယ် ၁ ဦး သတ်သေပြီးနောက် ၁၄ ဦး ဖမ်းဆီးခံရ,အီတလီတွင်လူငယ်၁ဦးသေဆုံးခဲ့သည့်လူငယ်၁ဦးကိုဆီးခံရ
အင်တာပိုကို ဦးဆောင်ရန် ဖွံ့ဖြိုးဆဲနိုင်ငံက အကြီးအကဲ ၁ ဦးကို ရွေးသင့်ဟု ဘရာဇီး အကြံပြု,ကမ္ဘာတဝန်း ရာဇဝတ်မှု ပိုကျယ်ပြန့်လာသဖြင့် အင်တာပို ယုံကြည်စိတ်ချရမှု မြှင့်တင်ရန် ဖွံ့ဖြိုးဆဲနိုင်ငံက အကြီးအကဲ ၁ ဦး ပါဝင်,ရာဇဝတ်မှုများပိုများလာသဖြင့် အင်တာပို ယုံကြည်စိတ်ချရမှုကို မြှင့်တင်ရန် ကြိုးပမ်းနေ,ကမ္ဘာ့အအအအအအအအအအအအအအအအအအ
အီတလီနှင့် ဂျပန် ဝန်ကြီးချုပ် ၂ ဦး တွေ့ဆုံ,အီတလီဝန်ကြီးချုပ် ဂျော်ဂျီယာ မယ်လိုနီ တိုကျိုမြို့တော်ဆီ ရောက်လာ,အီတလီနှင့် ဂျပန် ဝန်ကြီးချုပ် ၂ ဦး တွေ့ဆုံ,အီတလီဝန်ကြီးချုပ်ဝန်ကြီးချုပ်တွေ့ဆုံ
အစ္စရေး ထိုးစစ်မတိုင်မီ အပစ်ရပ်နိုင်ရန် ပါလက်စတိုင်း မျှော်လင့်,အမေရိကန်နိုင်ငံခြားရေးဝန်ကြီး၏ အရှေ့အလယ်ပိုင်းခရီးစဉ်အတွင်း ပစ်ခတ်ရပ်စဲရေး သဘောတူညီချက် ထုတ်ပြန်,အမေရိကန်နှင့် အစ္စရေး အပစ်ရပ်,အစ္စရေးအအအအရပ်စဲရေးအစ္စရေးအစ္စရေးအစ္စရေးပြော
ရာဇဝတ်မှုကိုင်တွယ်ဖြေရှင်းရန် ပျက်ကွက်သည့် ဟေတီဝန်ကြီးချုပ်ကို ဆန္ဒပြ,ဟေတီတွင် ရာဇဝတ်မှုများကို ကိုင်တွယ်ဖြေရှင်းရန် ပျက်ကွက်ခဲ့သည့် ဝန်ကြီးချုပ် အေရီယယ်လ် ဟင်နရီအစိုးရကို အော်-ပရင့်စ် တောင်းဆို,ဟေတီတွင် ရာဇဝတ်မှုကိုင်တွယ်ဖြေရှင်းရန် ပျက်ကွက်ခဲ့သည့် ဝန်ကြီးချုပ်ကို မြို့တော်၌ ဆန္ဒပြ,ဟေတီတွင်အရေးရေးဝန်ကြီးချုပ်ဆရာဝန်ကြီးချုပ်ဆန္ဒပြ
၂ နှစ်အတွင်း နိုင်ငံခြားရန်ပုံငွေ ဒေါ်လာ ၅ ဘီလီယံရရန် သီရိလင်္ကာ မျှော်လင့်,သီရိလင်္ကာတွင် နိုင်ငံခြားရန်ပုံငွေ ဒေါ်လာ ၅ ဘီလီယံခန့်ရရန် ဆွဲဆောင်နိုင်မည်,သီရိလင်္ကာက နိုင်ငံခြားရန်ပုံငွေ ဒေါ်လာ ၅ ဘီလီယံခန့်ရရန် ဆွဲဆောင်နိုင်မည်,အမေရိကန်ဒေါ်လာဒေါ်လာသန်းဘီလီယံအဒေါ်လာသန်းဘီလီယံအ
ထိမ်းဖိထားအပါအဝင် ထိုင်းအတိုက်အခံ ၈ ဦး ဆိုင်းငံထောင်ဒဏ်နှင့် ငွေဒဏ်ချမှတ်ခံရ,လိုမ့်ကျရွန်းရတ်အပါအဝင် ၈ ဦးကို ထိုင်းတရားရုံးက ထောင်ဒဏ် ၄ လ ဆိုင်းငံ့ ၂ နှစ် ချမှတ်,Move Forward ပါတီခေါင်းဆောင်အပါအဝင် ၈ ဦး ဆိုင်းငံထောင်ဒဏ်နှင့် ငွေဒဏ်ချမှတ်ခံရ,ထိုင်းပါတီအဖွဲ့အအအအအအအအအအအအအအအ
ချားလ်စ်ဘုရင် ကင်ဆာရောဂါ ကုသမှုခံယူမည်,ဗြိတိန်၏ တတိယမြောက် ချားလ်စ်ဘုရင် ကင်ဆာရောဂါကြောင့် ကုသမှုခံယူရန် ရွှေ့ဆိုင်းမည်,ချားလ်စ်ဘုရင် ကင်ဆာရောဂါ ကုသမှုခံယူရန် ပြည်သူ့ရေးရာဆောင်ရွက်မှု ရွှေ့ဆိုင်းမည်,ဗြိတိန်တွင်အရာသီအရာသီသူများကိုအရာရ
သမ္မတဘိုင်ဒင်က သူ့ပုံရိပ်မြှင့်တင်ရန် အီရတ်နှင့် ဆီးရီးယားတွင် တိုက်ခိုက်ခဲ့ဟု ရုရှား စွပ်စွဲ,အမေရိကန်သမ္မတရွေးကောက်ပွဲ မဲဆွယ်မှု အရှိန်မြင့်နေသဖြင့် သမ္မတ ဂျိုးဘိုင်ဒင် လက်တုံ့ပြန်,ဂျိုးဘိုင်ဒင်က သူ့ပုံရိပ်မြှင့်တင်ရန်အတွက် အီတလီသမ္မတကို တိုက်တွန်း,အမေရိကန်အတိုက်ခိုက်မှုကိုအမေရိကန်တိုက်ခိုက်
အင်ဒိုနီးရှားသမ္မတလောင်းများ TikTok အသုံးပြုပြီး အပြိုင်မဲဆွယ်,အင်ဒိုနီးရှားသမ္မတရွေးကောက်ပွဲ အနိုင်ရရန် မျိုးဆက်သစ်လူငယ် မဲဆန္ဒရှင်များ အသုံးများ,အင်ဒိုနီးရှား သမ္မတလောင်းများ TikTok ဖြင့် မဲဆွယ်နိုင်,အင်ဒိုနီးရှားသမ္မတရွေးကောက်ပွဲတွင်ပွဲတွင်သမ္မတရွေးကောက်ပွဲကျင်း
ဆီနီဂေါ ဆန္ဒပြပွဲ မျက်ရည်ယိုဗုံး သုံးပြီး လူစုခွဲ,ဆီနီဂေါတွင် သမ္မတရွေးကောက်ပွဲ ရွှေ့ဆိုင်းသည့်အပေါ် ဆန့်ကျင်ကန့်ကွက်ရန် မြို့တော် ဒါကာ၌ စုဝေးနေသည့် လူအုပ်များ ဆန္ဒပြ,ဆီနီဂေါ သမ္မတရွေးကောက်ပွဲကို လူအစုအဝေးကန့်ကွက်ဆန္ဒပြ,ဆီနီတွင်တွင်န္ဒပြပွဲများကိုပစ်ခတ်မှုများကိုပစ်ခတ်
ယီမင်ရှိ ဟူသီသူပုန်ပစ်မှတ်များကို ဗြိတိန် တိုက်ခိုက်,ဟူသီစစ်သွေးကြွများကို ပစ်မှတ်ထားသည့် တတိယလှိုင်းတိုက်ပွဲတွင် အချိုးကျပါဝင်,ယီမင်ရှိ အီရန်စစ်သွေးကြွပစ်မှတ်များကို ဗြိတိန် တိုက်ခိုက်,အမေရိကန်ကိုအီရတ်အပစ်မှတ်များကိုအီရတ်အတိုက်ခိုက်
သြစတြေးလျ စာရေးဆရာ ၁ ဦးကို တရုတ်က သေဒဏ်ချမှတ်,သြစတြေးလျ စာရေးဆရာ ယန်ဟန်းကျန်းကို တရုတ်က ဆိုင်းငံ့သေဒဏ်ပေး,သြစတြေးလျ စာရေးဆရာ ယန်ဟန်းကျန်းကို တရုတ်က သေဒဏ်ချမှတ်,သြစတြေးလျတွင်တက္ကသိုလ်ကျောင်းသားကိုကိုကိုကိုကို
မော်စကိုမြို့လယ် ဆန္ဒပြပွဲတွင် သတင်းထောက် အယောက် ၂၀ ခန့် ထိန်းသိမ်းခံရ,မော်စကိုမြို့လယ်တွင် သတင်းထောက် ၂၀ ခန့် ဖမ်းဆီးခံရ,မော်စကိုမြို့လယ် ဆန္ဒပြပွဲတွင် သတင်းထောက် ၂၀ ခန့် ဖမ်းဆီးခံရ,မော်စမြို့တွင်ဆန္ဒပြသူများကိုအအအအအ၀၀၀ကျော်ဖမ်း
ယူကရိန်းတပ်ဖွဲ့ကို သမ္မတ ဇလန်းစကီး ဆုတံဆိပ်ချီးမြှင့်,ယူကရိန်းသမ္မတ ဗိုလိုဒီမာ ဇလန်းစကီး ဆုတံဆိပ်ပေး,ယူကရိန်းတပ်ဖွဲ့ကို ဇလန်းစကီး ဆုတံဆိပ်ချီးမြှင့်,ယူကရိန်းသမ္မတကရိန်းသမ္မတကစကီးသမ္မတပူတင်
ဂါဇာတွင် ဟားမတ်စ်တပ်ဖွဲ့က အစ္စရေးတပ်များကို ပြန်တိုက်ခိုက်,ဂါဇာကမ်းမြောင်ရှိ အဓိကမြို့ကြီး ၂ မြို့တွင် အစ္စရေးတပ်များ ပစ်ခတ်,ဂါဇာတွင် ဟားမတ်စ်တပ်ဖွဲ့က အစ္စရေးတပ်များကို ပစ်ခတ်တိုက်ခိုက်,ဂါဇာတွင်အစ္စရေးအစ္စရေးအဖွဲ့များကိုပစ်ခတ်
အိန္ဒိယ ဂူဂျာရတ်ပြည်နယ်တွင် စုံတွဲ ၁၂၉ တွဲ မင်္ဂလာဆောင်,အိန္ဒိယအနောက်ပိုင်း ဂူဂျာရတ်တွင် စုံတွဲများ မင်္ဂလာပွဲကျင်းပ,အိန္ဒိယ ဂူဂျာရတ်ပြည်နယ်တွင် စုံတွဲများ မင်္ဂလာပွဲ ကျင်းပ,အိန္ဒိယတွင်အအအအအအအအအအအ
အာဏာရှင် အယ်လ်ဆာဗေးဒိုးသမ္မတ ရွေးကောက်ပွဲ ထပ်နိုင်,အယ်လ်ဆာဗေးဒိုးသမ္မတ နာယစ်ဘ် ဘူကီလီ အပြတ်အသတ်အနိုင်ရ,အယ်လ်ဆာဗေးဒိုးသမ္မတ ရွေးကောက်ပွဲတွင် အနိုင်ရ,အာဏာရှင်အရွေးကောက်ပွဲရွေးကောက်ပွဲတွင်ရွေးကောက်ပွဲတွင်ရွေးကောက်ပွဲအအ
အရှေ့အလယ်ပိုင်းရှိ အီရန်နောက်ခံပြုအဖွဲ့များကို အမေရိကန် ဆက်လက်တိုက်ခိုက်မည်,အီရန်နှင့်ပတ်သက်သည့် အဖွဲ့များကို အမေရိကန် ဆက်တိုက်တိုက်ခိုက်,အရှေ့အလယ်ပိုင်းရှိ အီရန်အဖွဲ့များကို အမေရိကန် ဆက်လက်တိုက်ခိုက်မည်,အမေရိကန်တိုက်ခိုက်မှုအတိုက်ခိုက်တိုက်ခိုက်မှုအမေရိကန်တိုက်ခိုက်
ဂရမ်မီဆုပေးပွဲတွင် တေလာဆွစ်ဖ်က အကောင်းဆုံးတေးအယ်လ်ဘမ်ဆု ၄ ကြိမ်ရပြီး စံချိန်တင်,ဂရမ်မီဆုပေးပွဲ ကျင်းပပြီး တနှစ်တာအကောင်းဆုံးတေးအယ်လ်ဘမ်ဆု လေးကြိမ်မြောက်ဆွတ်ခူး,ဂရမ်မီဆုပေးပွဲတွင် တေလာဆွစ်ဖ် အကောင်းဆုံးတေးအယ်လ်ဘမ်ဆုကို ဆွတ်ခူး,ဂလန်လီဆုဆုဆုဆုဆုဆုဆုဆုဆုဆုဆုဆုဆုဆွတ်ခူး
ချီလီတောမီးကြောင့် သေဆုံးသူ ၁၁၂ ဦးထိ ရှိလာ,ချီလီတွင် ညမထွက်ရအမိန့် သက်တမ်းတိုး,ညမထွက်ရအမိန့်ကို ချီချီလီတွင် သက်တမ်းတိုး,ချီလီတွင်မီးမီးလောင်မှုကြောင့်သေဆုံးသူ၁၀၀ကျော်ထိရှိ
နမီးဘီးယားသမ္မတ ဟာဂေဂိန်ဂေါ့ဘ် အသက် ၈၂ တွင် ကင်ဆာဖြင့်ကွယ်လွန်,နမီးဘီးယားသမ္မတ ဟာဂေဂိန်ဂေါ့ဘ် ကွယ်လွန်,နမီးဘီးယားသမ္မတ ဟာဂေဂိန်ဂေါ့ဘ် ကွယ်လွန်,ကင်ဆာသမ္မတဟောင်းကိုသမားသမားသမားသမီးသသသ
ပါကစ္စတန်ဝန်ကြီးချုပ်ဟောင်းနှင့် ဇနီးကို လက်ထပ်ဥပဒေချိုးဖောက်မှုဖြင့် ထောင် ၇ နှစ်ချမှတ်,ပါကစ္စတန်ဝန်ကြီးချုပ်ဟောင်း အမ်ရမ်ခန်းနှင့် သူ့ဇနီး ဘွတ်ရှ်ရာခန်းတို့ လက်ထပ်ထိမ်းမြားမှု ချိုးဖောက်,ပါကစ္စတန်ဝန်ကြီးချုပ်ဟောင်း အမ်ရမ်ခန်းနှင့် ဇနီးကို ထောင်ဒဏ်ချမှတ်,ပါကစ္စတန်ဝန်ကြီးချုပ်ဟောင်းဟောင်းကိုကိုအကိုအဒဏ်၂နှစ်နှစ်ချမှတ်
ဆီးရီးယားရှိ ပစ်မှတ် ၅၀ ကျော်ကို ပစ်ခတ်ခဲ့ကြောင်း အစ္စရေးစစ်တပ် ပြော,လက်ဘနွန်တွင် အီရန်ကျောထောက် နောက်ခံပြု ဟစ်ဇ်ဘိုလာနှင့် ဆက်နွှယ်နေသည့် ဆီးရီးယားတွင် ပစ်မှတ် ၅၀ ကျော်ကို အစ္စရေးပစ်ခတ်,ဆီးရီးယားရှိ ပစ်မှတ် ၅၀ ကျော်ကို အစ္စရေး ချေမှုန်း,အစ္စရေးပစ်မှတ်၀၀၀ကိုပစ်မှတ်
ဒီမိုကရက်တစ်သမ္မတလောင်း ပြည်နယ်အကြိုရွေးကောက်ပွဲတွင် ဘိုင်ဒင် အနိုင်ရ,တောင်ကာရိုးလိုင်းနားပြည်နယ် ဒီမိုကရက်တစ်သမ္မတလောင်း အကြိုရွေးကောက်ပွဲတွင် ဂျိုးဘိုင်ဒင် အပြတ်အသတ်အနိုင်ရ,ဒီမိုကရက်တစ်သမ္မတလောင်း အကြိုရွေးကောက်ပွဲတွင် ဘိုင်ဒင် အနိုင်ရ,အင်ဒိုနီးရှားသမ္မတရွေးကောက်ပွဲတွင်ရွေးကောက်ပွဲတွင်ရွေးကောက်ပွဲကျင်းပ
မြောက်အိုင်ယာလန်တွင် အိုင်းရစ်ရှ်အမျိုးသားရေးဝါဒီ ၁ ဦး ပထမဝန်ကြီး ဖြစ်လာ,မြောက်အိုင်ယာလန်တွင် ပထမဆုံးအကြိမ် အိုင်းရစ်ရှ်အမျိုးသားရေးဝါဒီ ၁ ဦးကို ပြည်နယ်ဝန်ကြီးချုပ် ရာထူးနှင့် သဘောတရားများ လွှမ်းမိုး,ဗြိတိန်တွင် အမျိုးသားရေးဝါဒီ ၁ ဦးကို ပြည်နယ်ဝန်ကြီးချုပ် ရာထူးက ခန့်အပ်,ဗြိတိန်အမျိုးသားများအအအအအအအအအအအအ
ပါရီတွင် SUV ကားများ ပါကင်ကြေး ၃ ဆတိုးရန် လူထုဆန္ဒခံယူပွဲပြုလုပ်,ပြင်သစ်မြို့တော် ပါရီတွင် အရွယ်အစားကြီးမားသည့် SUV ကားများအပေါ် ကားပါကင်ကြေး တိုးကောက်မည်,ပါရီတွင် SUV ကားများ ပါကင်ကြေးတိုးကောက်ရန် ပြင်သစ်အစိုးရ တောင်းဆို,မဲဆောက်တွင်SUVတွင်အအအများအပြပွဲများတွင်ဆန္ဒပြပွဲများဆ
ဂါဇာစစ်ပွဲ အစ္စရေးနှင့် မဟာမိတ်များအတွက် အရှက်ရစေမည်ဟု ဟားမတ်စ်ပြော,ဂါဇာစစ်ပွဲ အစ္စရေးနှင့် သူ့မဟာမိတ်များအတွက် အရှက်ရစေမည့် လက်ခဏာတရပ်ဟု ဟားမတ်စ်ပြော,ဂါဇာစစ်ပွဲ အစ္စရေးနှင့် မဟာမိတ်များအတွက် အရှက်ရစေဖွယ်ရှိဟု ဟားမတ်စ်ပြော,ဂါဇာအအအအအအအအအအအအအအဟုအစ္စရေး
ဂါဇာစစ်ပွဲ ဂြိုဟ်တုဓာတ်ပုံများ ထုတ်ပြန်,အစ္စရေးနှင့် ဟားမတ်စ်ပဋိပက္ခ ၂၀၂၃ ခုနှစ်တွင် စတင်ခဲ့သည့် ဂြိုဟ်တုဓာတ်ပုံများ ပြသ,အစ္စရေး-ဟားမတ်စ် ပဋိပက္ခ ဂြိုဟ်တုဓာတ်ပုံများ,ဂါဇာတွင်အအအအအအအအအအအအအအအအ
အိန္ဒိယရေတပ်က အိန္ဒိယသမုဒ္ဒရာကို လုံခြုံအောင်လုပ်နိုင်ခဲ့ဟု ကာကွယ်ရေးဝန်ကြီးပြော,အိန္ဒိယရေတပ် ကုန်သွယ်မှုရေးစီးဆင်းမှု လုံခြုံအောင်လုပ်,အိန္ဒိယရေတပ်က သမုဒ္ဒရာကို လုံခြုံအောင်လုပ်ဆောင်,အိန္ဒိယအိန္ဒိယကအိန္ဒိယကအိန္ဒိယကအိန္ဒိယကိုအိ
အမေရိကန် လေကြောင်းတိုက်ခိုက်မှု အီရန် ရှုတ်ချ,အီရတ်နှင့် ဆီးရီးယားတွင် အီရန်ကျောထောက်နောက်ခံပြုထားသည့် ပစ်မှတ် ၈၅ ခုကျော် တိုက်ခိုက်ခံရ,အမေရိကန် လေကြောင်းတိုက်ခိုက်မှု အီရန် ဝေဖန်,အီရတ်အတိုက်ခိုက်မှုကိုခိုက်မှုကိုအီရန်အမေရိကန်တိုက်ခိုက်
ချီလီ ကမ်းရိုးတန်းမြို့တွင် တောမီးလောင်ပြီး လူ ၁၉ ဦးထက်မနည်း သေဆုံး,ချီလီမြို့ ဗီနာဒယ်လ်မာတွင် တောမီးလောင်ပြီး လူ ၁၉ ဦးထက်မနည်း သေဆုံး,ကမ်းရိုးတန်းခရီးသွားမြို့ ချီလီတွင် တောမီးလောင်ပြီး ၁၉ ဦးထက်မနည်း သေဆုံး,ချီလီတွင်မီးမီးမီးလောင်ပြီးလူ၁ဦးသေဆုံး
ထိုင်းနှင့် သီရိလင်္ကာတို့ လွတ်လပ်သည့် ကုန်သွယ်မှုသဘောတူညီချက် လက်မှတ်ထိုး,ထိုင်းနှင့် သီရိလင်္ကာတို့ လွတ်လပ်သည့်ကုန်သွယ်မှုသဘောတူညီချက် လက်မှတ်ထိုး,ထိုင်းနှင့် သီရိလင်္ကာတို့ လွတ်လပ်သည့် ကုန်သွယ်မှုသဘောတူညီချက်လက်မှတ်ထိုး,ထိုင်းနိုင်ငံကအအအအအအအအအအအအအအအအ
အီရန် ပစ်မှတ်များကို အမေရိကန် လက်တုံ့ပြန် တိုက်ခိုက်မှု ပိုလန်ဝန်ကြီး ဝေဖန်,အီရတ်နှင့် ဆီးရီးယားရှိ အီရန်နှင့် အချိတ်အဆက်ရှိ ပစ်မှတ်များကို အမေရိကန် လက်တုံ့ပြန်တိုက်ခိုက်,အီရန်-ကြားခံပြုအဖွဲ့၏ မီးဖြင့်ကစားရလဒ်ဖြစ်ဟု ပိုလန်ပြော,အီရတ်အအအအအအအအအအအအအအအအမေရိ
ကျူးဘားတွင် ကုန်ဈေးနှုန်းတက်မှု ပိုဆိုးလာသဖြင့် စီးပွားရေးဝန်ကြီးကို ရာထူးမှ ထုတ်ပယ်,ကျူးဘားသမ္မတ မီဂဲလ်ဒီးယက်ဇ်ကာနေးလ် အငြင်းပွားမှု ကြီးထွား,ကျူးဘားတွင် ကုန်ဈေးနှုန်းတက်မှုကြောင့် အငြင်းပွားမှုများ ကြီးထွား,နိုင်ငံခြားရေးဝန်ကြီးနှင့်အပွားရေးအပွားရေးတိုးမြှင့်မှုဟုဟုဟုဝန်
ချီလီနိုင်ငံတဝန်း တောမီး ၁၅၈ ကြိမ်လောင်၊ အနည်းဆုံး လူ ၁၀ ဦး သေဆုံး,ချီလီတွင် ထိန်းမနိုင်သိမ်းမရ တောမီးများ လောင်ကျွမ်း,ကိုရိုနာဗိုင်းရပ်စ်ကြောင့် ချီလီတွင် တောက်လောင်ပြီး ထောင်ချီ ပျက်စီး,ချီလီတွင်တောမီးလောင်ပြီးလူ၁၀၀ကျော်ပျက်စီး
နယ်စပ်ဒေသများ၌ အမေရိကန် လေကြောင်း တိုက်ခိုက်ခဲ့ဟု အီရတ်စစ်တပ် ပြော,အီရတ်နယ်စပ်ဒေသများတွင် အမေရိကန်လေကြောင်းတိုက်ခိုက်မှု လုပ်ဆောင်,အီရတ်နယ်စပ်ဒေသများကို အမေရိကန် လေကြောင်းတိုက်ခိုက်,အီရတ်တိုက်ခိုက်တိုက်ခိုက်မှုများကိုတိုက်ခိုက်မှုအခိုက်
ပနားမားသမ္မတဟောင်း၏ အယူခံ ပယ်ချခံရ,ပနားမားသမ္မတဟောင်း မာတီနယ်လီ၏ ထောင်ဒဏ် ၁၀ နှစ် ပယ်ဖျက်ပေးရန် အယူခံဝင်မှုကို တရားရုံးပယ်ချ,ပနားမားသမ္မတဟောင်း မာတီနယ်လီ ထောင်ဒဏ် ၁၀ နှစ် ပယ်ဖျက်ခံရ,သမားသမ္မတဟောင်းအအခံရ
မြောက်ကိုရီးယားက ခရုဇ်ဒုံးကျည်သစ်များ စမ်းသပ် ပစ်လွှတ်,မြောက်ကိုရီးယားတွင် ခရုဇ်ဒုံးကျည်များ စမ်းသပ်ပစ်လွှတ်နေသည့် ဓာတ်ပုံများ,မြောက်ကိုရီးယားက ခရုဇ်ဒုံးကျည်အသစ်များ စမ်းသပ်ပစ်လွှတ်နေ,မြောက်ကိုရီးယားကဒုံးကျည်ပစ်ဒုံးကျည်ပစ်ခတ်မှုကိုပစ်လွှတ်
အီရတ်နှင့်ဆီးရီးယားရှိ အီရန်အစောင့်တပ် အဆောက်အအုံများကို လေကြောင်း တိုက်ခိုက်,အမေရိကန်သမ္မတ ဂျိုးဘိုင်ဒန်က အီရတ်နှင့် ဆီးရီးယားတို့ရှိ အီရန်တော်လှန်ရေးအစောင့်တပ်များ ချိတ်ဆက်နေ,အီရန်အစောင့်တပ်၏ အဆောက်အအုံများကို သမ္မတဘိုင်ဒန် ကြည့်ရှုစစ်ဆေး,အီရတ်နှင့်အစ္စရေးအတိုက်ခိုက်ခံရကိုအမေရိကန်တိုက်ခိုက်
အစ္စရေးနိုင်ငံရှိ ပစ်မှတ်များကို ဒုံးကျည်များဖြင့် ပစ်ခတ်ခဲ့ဟု ဟူသီပြော,အီရန်မဟာမိတ် ဟူသီသူပုန်အဖွဲ့ အစ္စရေးတွင် ပစ်မှတ်များကို ပဲ့ထိန်းဒုံးကျည်ဖြင့် တိုက်ခိုက်,အစ္စရေးပစ်မှတ်များကို ဟူသီသူပုန်အဖွဲ့ ဒုံးကျည်ဖြင့် ပစ်ခတ်,အစ္စရေးပစ်ခတ်မှုကိုပစ်ခတ်မှုကိုပစ်ခတ်အပစ်ခတ်
ကမ္ဘာတဝန်း ဆိုက်ဘာတိုက်ခိုက်မှုရပ်တန့်ရန် အမေရိကန်ကို တရုတ် တိုက်တွန်း,ကမ္ဘာတဝန်းရှိ ဆိုက်ဘာတိုက်ခိုက်မှု ရပ်တန့်ရန် တရုတ်က အမေရိကန်ကို တိုက်တွန်း,ဆိုက်ဘာတိုက်ခိုက်မှုရပ်တန့်ရန် အမေရိကန်ကို တရုတ်တိုက်တွန်း,ကမ္ဘာတဝန်းအခိုက်မှုများကိုရန်ရန်ရန်ရန်ရန်တရုတ်တိုက်တွန်း
ဗီယက်နမ်တွင် လေထုညစ်ညမ်းမှုဆိုးရွား၊ လေကြောင်းခရီးစဉ်များ ထိခိုက်,ဗီယက်နမ်မြို့တော်ဟနွိုင်းတွင် လေထုညစ်ညမ်းမှုကြောင့် ခရီးစဉ်ဒါဇင်ပေါင်းများစွာ ထိခိုက်,ဗီယက်နမ်မြို့တော် ဟနွိုင်းတွင် လေထုညစ်ညမ်းမှုဆိုးရွား,ဗီယက်နမ်တွင်လေလေလေလေယာဉ်လေယာဉ်လေယာဉ်လေယာဉ်များ
ဖင်လန်နိုင်ငံတဝန်းက အလုပ်သမားများ ဆန္ဒပြ,ဖင်လန်နိုင်ငံတဝန်းက အလုပ်သမား ၃ သိန်းနီးပါး ဆန္ဒပြ,ဖင်လန်နိုင်ငံတဝန်းက အလုပ်သမား ၃ သိန်းခန့် လက်ယာယိမ်းအစိုးရ၏ အဆိုပြုချက် ဆန့်ကျင်,ဖင်လန်တွင်သမားသမားများသမားများဆန္ဒပြ
